"Access Summary Report"
"Start","Stop"
0.000,259200.000
"Access","Start Time (EpSec)","Stop Time (EpSec)","Duration (sec)"
1,26632.621,27049.279,416.658
2,32287.444,32936.856,649.412
3,38156.960,38722.325,565.365
4,44120.944,44526.465,405.521
5,49998.545,50454.036,455.491
6,55783.315,56399.738,616.423
7,61586.986,62206.974,619.988
8,110307.091,110454.126,147.035
9,115822.219,116456.897,634.677
10,121650.340,122253.207,602.867
11,127604.488,128042.095,437.607
12,133517.749,133935.900,418.151
13,139314.032,139896.845,582.813
14,145103.790,145748.080,644.290
15,151026.262,151356.483,330.221
16,199371.633,199968.854,597.221
17,205152.099,205783.324,631.225
18,211085.165,211564.838,479.672
19,217028.041,217422.746,394.706
20,222844.391,223386.064,541.673
21,228626.586,229275.798,649.212
22,234485.441,234973.380,487.939

