"Access Summary Report"
"Start","Stop"
0.000,259200.000
"Access","Start Time (EpSec)","Stop Time (EpSec)","Duration (sec)"
1,20940.774,21413.995,473.221
2,26633.704,27281.900,648.196
3,32565.602,33029.997,464.395
4,50284.464,50806.709,522.245
5,56047.843,56696.627,648.783
6,61974.565,62312.693,338.128
7,104574.958,104853.192,278.233
8,110159.255,110806.719,647.464
9,116036.671,116574.989,538.318
10,133830.508,134274.540,444.032
11,139574.184,140218.925,644.741
12,145429.667,145929.818,500.151
13,193700.117,194322.791,622.674
14,199521.609,200115.225,593.616
15,205565.836,205821.641,255.805
16,217382.500,217726.517,344.017
17,223106.374,223727.095,620.721
18,228920.247,229506.295,586.048

