"Access Summary Report"
"Start","Stop"
0.000,259200.000
"Access","Start Time (EpSec)","Stop Time (EpSec)","Duration (sec)"
1,7110.296,7615.271,504.975
2,12811.033,13473.035,662.003
3,18700.424,19258.234,557.810
4,24660.840,25080.166,419.326
5,30520.752,31022.568,501.816
6,36305.981,36951.900,645.918
7,42123.182,42729.368,606.186
8,90723.300,91078.196,354.896
9,96338.724,96995.678,656.954
10,102190.282,102787.581,597.298
11,108148.640,108589.158,440.519
12,114042.517,114504.193,461.676
13,119835.346,120454.839,619.494
14,125634.539,126279.724,645.186
15,131638.978,131793.045,154.067
16,179879.366,180512.259,632.893
17,185687.466,186317.222,629.757
18,191631.241,192106.531,475.290
19,197557.179,197987.993,430.814
20,203365.100,203948.887,583.786
21,209153.643,209815.206,661.564
22,215043.681,215467.282,423.602

