# a contact +<start> +<end> <from> <to> <rate> <range>
# A-B 00-60
a contact 7110.296	7615.271 01 05 1 1
a contact 7110.296	7615.271 05 01 1 1
a contact 12811.033 13473.035 01 05 1 1
a contact 12811.033 13473.035 05 01 1 1
a contact 18700.424 19258.234 01 05 1 1
a contact 18700.424 19258.234 05 01 1 1
a contact 24660.84	25080.166 01 05 1 1
a contact 24660.84	25080.166 05 01 1 1
a contact 30520.752 31022.568 01 05 1 1
a contact 30520.752 31022.568 05 01 1 1
a contact 36305.981 36951.9 01 05 1 1
a contact 36305.981 36951.9 05 01 1 1
a contact 42123.182 42729.368 01 05 1 1
a contact 42123.182 42729.368 05 01 1 1
a contact 90723.3	91078.196 01 05 1 1
a contact 90723.3	91078.196 05 01 1 1
a contact 96338.724 96995.678 01 05 1 1
a contact 96338.724 96995.678 05 01 1 1
a contact 102190.282 102787.581 01 05 1 1
a contact 102190.282 102787.581 05 01 1 1
a contact 108148.64 108589.158 01 05 1 1
a contact 108148.64 108589.158 05 01 1 1
a contact 114042.517 114504.193 01 05 1 1
a contact 114042.517 114504.193 05 01 1 1
a contact 119835.346 120454.839 01 05 1 1
a contact 119835.346 120454.839 05 01 1 1
a contact 125634.539 126279.724 01 05 1 1
a contact 125634.539 126279.724 05 01 1 1
a contact 131638.978 131793.045 01 05 1 1
a contact 131638.978 131793.045 05 01 1 1
a contact 179879.366 180512.259 01 05 1 1
a contact 179879.366 180512.259 05 01 1 1
a contact 185687.466 186317.222 01 05 1 1
a contact 185687.466 186317.222 05 01 1 1
a contact 191631.241 192106.531 01 05 1 1
a contact 191631.241 192106.531 05 01 1 1
a contact 197557.179 197987.993 01 05 1 1
a contact 197557.179 197987.993 05 01 1 1
a contact 203365.1	203948.887 01 05 1 1
a contact 203365.1	203948.887 05 01 1 1
a contact 209153.643 209815.206 01 05 1 1
a contact 209153.643 209815.206 05 01 1 1
a contact 215043.681 215467.282 01 05 1 1
a contact 215043.681 215467.282 05 01 1 1
# B-C 00-60
a contact +0000000 +0000060 02 03 1 1
a contact +0000000 +0000060 03 02 1 1
# A-C 00-60
a contact +0000000 +0000060 01 03 1 1
a contact +0000000 +0000060 03 01 1 1
# C-D 00-30
a contact +0000000 +0000030 03 04 1 1
a contact +0000000 +0000030 04 03 1 1
# A-E 10-20
a contact +0000010 +0000020 01 05 1 1
a contact +0000010 +0000020 05 01 1 1
# D-E 00-10
a contact +0000000 +0000010 04 05 1 1
a contact +0000000 +0000010 05 04 1 1
# D-E 30-40
a contact +0000030 +0000040 04 05 1 1
a contact +0000030 +0000040 05 04 1 1
# D-E 50-60
a contact +0000050 +0000060 04 05 1 1
a contact +0000050 +0000060 05 04 1 1
